Time (s),Lap Distance (m),Ground Speed (km/h),Latitude Degrees (),Latitude Minutes (),Latitude Minute fraction (),Longitude Degrees (),Longitude Minutes (),Longitude Minute - fraction (),YawNorth (rad),X (m),Y (m),AP Info:
110.566666666667,5527.65326353467,150.008186074715,34,50,46.3778894956532,136,32,11.5200434820099,1.48530019173888,-195.127426147461,117.538848876953,0
110.583333333333,5528.34823174842,150.218082267094,34,50,46.3807136758133,136,32,11.5521005850428,1.49390569428471,-194.313003540039,117.625862121582,0
110.6,5529.04416356592,150.42446289302,34,50,46.3832744238174,136,32,11.5837282564303,1.50162432441977,-193.509490966797,117.70475769043,0
110.616666666667,5529.7415987183,150.867522934012,34,50,46.3851948783967,136,32,11.612103018631,1.50857358152536,-192.788619995117,117.76392364502,0
110.633333333333,5530.4406784153,151.13490617237,34,50,46.3872914609907,136,32,11.6320775881877,1.51458023587731,-192.281158447266,117.828521728516,0
110.65,5531.14109300987,151.444198679193,34,50,46.3896129288854,136,32,11.6570414534795,1.52053685958055,-191.646942138672,117.900047302246,0
110.666666666667,5531.84262195771,151.616306790701,34,50,46.3910594004999,136,32,11.6931311170379,1.5300945351508,-190.730072021484,117.944602966309,0
110.683333333333,5532.54530962059,151.944763573922,34,50,46.3922001086102,136,32,11.7145730116977,1.53789769957331,-190.185333251953,117.97974395752,0
110.7,5533.24906095535,152.075813041384,34,50,46.3941535061819,136,32,11.7443411996124,1.54784439044562,-189.429061889648,118.039924621582,0
110.716666666667,5533.95348140664,152.233821913287,34,50,46.3948491983386,136,32,11.7734769726258,1.55504294397799,-188.688858032227,118.061347961426,0
110.733333333333,5534.65882936589,152.476496485192,34,50,46.3966051284983,136,32,11.7947062353255,1.55926468322543,-188.149520874023,118.115447998047,0
110.75,5535.36531342438,152.72461678289,34,50,46.3973340429247,136,32,11.8268234562084,1.56749811332231,-187.333572387695,118.137893676758,0
110.766666666667,5536.07257976312,152.814441550918,34,50,46.398284385168,136,32,11.8646759362196,1.57527663657931,-186.371917724609,118.16716003418,0
